date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:46	239148/239148	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:44%20GMT	https://umrahcompanions.com/inquiry	C:/My%20Web%20Sites/ucold/umrahcompanions.com/inquiry.html	(from https://umrahcompanions.com/)
18:28:47	98152/98152	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:46%20GMT	https://umrahcompanions.com/contact-us	C:/My%20Web%20Sites/ucold/umrahcompanions.com/contact-us.html	(from https://umrahcompanions.com/)
18:28:47	121349/121349	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:46%20GMT	https://umrahcompanions.com/faqs	C:/My%20Web%20Sites/ucold/umrahcompanions.com/faqs.html	(from https://umrahcompanions.com/)
18:28:48	103005/103005	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:47%20GMT	https://umrahcompanions.com/affiliate	C:/My%20Web%20Sites/ucold/umrahcompanions.com/affiliate.html	(from https://umrahcompanions.com/)
18:28:48	105606/105606	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:47%20GMT	https://umrahcompanions.com/blog	C:/My%20Web%20Sites/ucold/umrahcompanions.com/blog.html	(from https://umrahcompanions.com/)
18:28:49	93811/93811	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:48%20GMT	https://umrahcompanions.com/who_we_are	C:/My%20Web%20Sites/ucold/umrahcompanions.com/who_we_are.html	(from https://umrahcompanions.com/)
18:28:50	110815/110815	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:49%20GMT	https://umrahcompanions.com/reservetransport	C:/My%20Web%20Sites/ucold/umrahcompanions.com/reservetransport.html	(from https://umrahcompanions.com/)
18:28:51	30308/30308	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Jul%202023%2009:52:35%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/starmobile.svg	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/starmobile.svg	(from https://umrahcompanions.com/)
18:28:52	18566/18566	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:53:25%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/pair.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/pair.webp	(from https://umrahcompanions.com/)
18:28:52	2214/2214	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:38%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/box.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/box.webp	(from https://umrahcompanions.com/)
18:28:52	288/288	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:50:54%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/credit-card.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/credit-card.webp	(from https://umrahcompanions.com/)
18:28:52	1836/1836	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:53:53%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/visa-1.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/visa-1.webp	(from https://umrahcompanions.com/)
18:28:53	651/651	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Jul%202023%2009:50:01%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/arrow-right.svg	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/arrow-right.svg	(from https://umrahcompanions.com/)
